chr	rs	ps	n_miss	alpha	beta	gamma
4	snp_4_15536574	15536574	6	6.186828e-06	9.293004e-02	6.500000e-04
4	snp_4_15595006	15595006	15	6.067949e-06	1.007812e-01	3.100000e-04
4	snp_4_15627233	15627233	8	7.053737e-06	1.104638e-01	4.220000e-03
4	snp_4_15627234	15627234	6	8.800694e-06	1.251225e-01	4.220000e-02
4	snp_4_15631620	15631620	11	9.290976e-06	1.041278e-01	2.866000e-02
4	snp_4_15634372	15634372	7	9.479300e-06	1.035427e-01	5.218000e-02
4	snp_4_15635564	15635564	4	7.563836e-06	6.827686e-02	1.040000e-03
4	snp_4_16347675	16347675	7	1.321141e-05	5.001037e-02	8.040000e-03
5	snp_5_94878	94878	3	1.336100e-05	5.259614e-02	5.560000e-03
5	snp_5_868513	868513	10	-1.016182e-05	-6.408701e-02	1.230000e-03
5	snp_5_5137183	5137183	13	1.126640e-05	7.039444e-02	3.760000e-03
5	snp_5_5137188	5137188	12	1.060738e-05	6.846349e-02	5.780000e-03
5	snp_5_6821861	6821861	16	-5.981615e-06	-1.072368e-01	8.900000e-04
5	snp_5_6826188	6826188	10	-5.962964e-06	-8.392448e-02	5.300000e-04
5	snp_5_6830011	6830011	10	-5.914545e-06	-7.551929e-02	6.600000e-04
5	snp_5_9916825	9916825	14	1.298807e-05	4.978785e-02	2.060000e-03
5	snp_5_13466712	13466712	19	-2.109115e-05	-3.408340e-02	8.740000e-03
5	snp_5_13466788	13466788	5	-1.459885e-05	-4.198034e-02	2.770000e-03
5	snp_5_17878398	17878398	11	-1.237425e-05	-5.981138e-02	2.900000e-03
5	snp_5_23906619	23906619	9	1.693763e-05	3.905638e-02	9.690000e-03
