chr	rs	ps	n_miss	alpha	beta	gamma
4	snp_4_8700465	8700465	9	2.673745e-05	1.943163e-01	1.590000e-03
4	snp_4_8700692	8700692	6	2.677927e-05	1.648536e-01	1.890000e-03
4	snp_4_8705184	8705184	8	3.375605e-05	1.448963e-01	7.800000e-03
4	snp_4_8705297	8705297	10	3.380752e-05	1.720383e-01	7.340000e-03
4	snp_4_10830850	10830850	6	2.295955e-05	1.439636e-01	5.600000e-04
4	snp_4_10831158	10831158	3	2.443228e-05	1.773386e-01	1.320000e-03
4	snp_4_10833027	10833027	7	3.924626e-05	1.209111e-01	2.380000e-03
4	snp_4_10833036	10833036	6	4.049853e-05	1.207052e-01	2.263000e-02
4	snp_4_15536574	15536574	6	1.736377e-05	2.733675e-01	9.300000e-04
4	snp_4_15595006	15595006	15	1.763807e-05	3.161764e-01	2.390000e-03
4	snp_4_15627233	15627233	8	1.772025e-05	2.817860e-01	4.500000e-04
4	snp_4_15627234	15627234	6	2.235805e-05	3.315351e-01	1.453000e-02
4	snp_4_15631620	15631620	11	2.345685e-05	3.104431e-01	5.250000e-03
4	snp_4_15634372	15634372	7	2.383498e-05	3.190018e-01	7.440000e-03
4	snp_4_15677001	15677001	17	3.960517e-05	9.837518e-02	1.770000e-03
5	snp_5_345336	345336	8	-4.939816e-05	-1.249960e-01	1.528000e-02
5	snp_5_868513	868513	10	-2.740146e-05	-2.153109e-01	8.740000e-03
5	snp_5_870273	870273	5	-2.806535e-05	-1.846606e-01	1.730000e-03
5	snp_5_3450444	3450444	13	5.154347e-05	1.177360e-01	5.223000e-02
5	snp_5_3450635	3450635	5	4.958853e-05	1.011120e-01	7.390000e-03
5	snp_5_3450692	3450692	12	4.969433e-05	1.147779e-01	1.043000e-02
5	snp_5_3451333	3451333	5	4.818046e-05	8.798337e-02	6.100000e-03
5	snp_5_3452750	3452750	5	5.539120e-05	1.179216e-01	5.194000e-02
5	snp_5_3453040	3453040	7	5.020497e-05	1.159356e-01	1.560000e-02
5	snp_5_3454188	3454188	14	3.510827e-05	1.198718e-01	1.480000e-03
5	snp_5_9914807	9914807	14	3.972034e-05	1.224516e-01	2.980000e-03
5	snp_5_16063102	16063102	6	4.169256e-05	1.279369e-01	2.680000e-03
5	snp_5_18222186	18222186	14	2.301560e-05	1.728237e-01	6.800000e-04
5	snp_5_21897926	21897926	11	3.011703e-05	1.440488e-01	1.570000e-03
5	snp_5_26473466	26473466	3	3.855029e-05	1.477395e-01	7.590000e-03
